"ID","GRIDCODE","gridcode_1","fire_id","F_AREA","score.building","score.habitat","score.invasive","score.isol","score.RelAbundance","Total","RelativeTotal","Rank"
"28634","113","113","WA4724812058320120908",6300,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28637","113","113","WA4724812058320120908",3600,0,0.5,0,0.0815817016448004,0.510568094873757,1.09214979651856,0.02,1232
"28638","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28642","113","113","WA4724812058320120908",3600,0,0.5,0.9137349503864,0.0407908508224002,0.510568094873757,1.96509389608256,0.04,150
"28643","113","113","WA4724812058320120908",5400,0,0.5,0,0,0.510568094873757,1.01056809487376,0.02,2557
"28645","113","113","WA4724812058320120908",28800,0,0,0,0,0.873565416985463,0.873565416985463,0.02,3372.5
"28648","113","113","WA4724812058320120908",9000,0,0.5,0,0,0.873565416985463,1.37356541698546,0.03,695.5
"28655","113","113","WA4724812058320120908",5400,0,0.5,0.824333491668388,0.0407908508224002,0.510568094873757,1.87569243736454,0.04,211
"28660","113","113","WA4724812058320120908",1800,0,0.5,0,0,0.993018362662586,1.49301836266259,0.03,417
"28662","113","113","WA4724812058320120908",2700,0,0.5,0,0.0407908508224002,0.873565416985463,1.41435626780786,0.03,582
"28668","113","113","WA4724812058320120908",7200,0,0.5,0.899853574082306,0.122372552467201,0.510568094873757,2.03279422142326,0.05,96
"28672","113","113","WA4724812058320120908",3600,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28673","113","113","WA4724812058320120908",36900,0,0,0,0.0407908508224002,0.873565416985463,0.914356267807863,0.02,3047
"28674","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28675","113","113","WA4724812058320120908",3600,0,0.5,0,0,0.510568094873757,1.01056809487376,0.02,2557
"28679","113","113","WA4724812058320120908",9000,0,0.5,0,0,0.873565416985463,1.37356541698546,0.03,695.5
"28681","113","113","WA4724812058320120908",1800,0,0.5,0,0.0815817016448004,0.510568094873757,1.09214979651856,0.02,1232
"28685","113","113","WA4724812058320120908",1800,0,0.5,0,0.18242223059788,0.510568094873757,1.19299032547164,0.03,811.5
"28688","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28690","113","113","WA4724812058320120908",5400,0,0.5,0.899276699158429,0.0407908508224002,0.510568094873757,1.95063564485459,0.04,168
"28691","113","113","WA4724812058320120908",1800,0,0.5,0.972829027383655,0.0407908508224002,0.510568094873757,2.02418797307981,0.05,109
"28695","113","113","WA4724812058320120908",1800,0,0.5,0,0,0.510568094873757,1.01056809487376,0.02,2557
"28700","113","113","WA4724812058320120908",2700,0,0.5,0.993648434038511,0.0407908508224002,0.510568094873757,2.04500737973467,0.05,80
"28701","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28705","113","113","WA4724812058320120908",5400,0,0.5,0.992424857593588,0.0407908508224002,0.510568094873757,2.04378380328975,0.05,82
"28711","113","113","WA4724812058320120908",2700,0,0.5,0,0.0407908508224002,0.873565416985463,1.41435626780786,0.03,582
"28713","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28715","113","113","WA4724812058320120908",1800,0,0.5,0,0.115373948907552,0.510568094873757,1.12594204378131,0.03,1035
"28716","113","113","WA4724812058320120908",1800,0,0.5,0,0.122372552467201,0.510568094873757,1.13294064734096,0.03,975.5
"28718","113","113","WA4724812058320120908",8100,0,0,0.942421062205258,0.0407908508224002,0.510568094873757,1.49378000790141,0.03,416
"28719","113","113","WA4724812058320120908",1800,0,0.5,0.937289495963864,0.0407908508224002,0.510568094873757,1.98864844166002,0.04,135
"28722","113","113","WA4724812058320120908",2700,0,0.5,0,0.00102394243805541,0.510568094873757,1.01159203731181,0.02,2523
"28723","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28726","113","113","WA4724812058320120908",1800,0,0.5,0.88494066799419,0.0815817016448004,0.510568094873757,1.97709046451275,0.04,143
"28727","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28736","113","113","WA4724812058320120908",5400,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28738","113","113","WA4724812058320120908",2700,0,0.5,0,0.122372552467201,0.510568094873757,1.13294064734096,0.03,975.5
"28740","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28741","113","113","WA4724812058320120908",10800,0,0.5,0,0,0.873565416985463,1.37356541698546,0.03,695.5
"28743","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28744","113","113","WA4724812058320120908",1800,0,0,0,0.115373948907552,0.510568094873757,0.625942043781309,0.01,3516.5
"28748","113","113","WA4724812058320120908",1800,0,0.5,0,0.0815817016448004,0.873565416985463,1.45514711863026,0.03,466.5
"28750","113","113","WA4724812058320120908",6300,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28751","113","113","WA4724812058320120908",9000,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28755","113","113","WA4724812058320120908",1800,0,0.5,0,0.0815817016448004,0.88571155317521,1.46729325482001,0.03,435
"28757","113","113","WA4724812058320120908",2700,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28760","113","113","WA4724812058320120908",1800,0,0.5,0.918022847002439,0.115373948907552,0.510568094873757,2.04396489078375,0.05,81
"28764","113","113","WA4724812058320120908",3600,0,0.5,0,0,0.873565416985463,1.37356541698546,0.03,695.5
"28766","113","113","WA4724812058320120908",1800,0,0.5,0,0.0815817016448004,0.510568094873757,1.09214979651856,0.02,1232
"28771","113","113","WA4724812058320120908",1800,0,0.5,0,0.203954254112001,0.510568094873757,1.21452234898576,0.03,786.5
"28775","113","113","WA4724812058320120908",1800,0,0.5,0,0.0815817016448004,0.510568094873757,1.09214979651856,0.02,1232
"28776","113","113","WA4724812058320120908",1800,0,0.5,0,0.0815817016448004,0.510568094873757,1.09214979651856,0.02,1232
"28778","113","113","WA4724812058320120908",10800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
